Country,Country code,2000
China,156,1290551
India,356,1056576
United States of America,840,281711
Indonesia,360,211514
Pakistan,586,142344
Brazil,76,174790
Nigeria,566,122284
Bangladesh,50,127658
Russian Federation,643,146405
Mexico,484,98900
Japan,392,127524
Ethiopia,231,66225
Philippines,608,77992
Egypt,818,68832
Viet Nam,704,79910
Democratic Republic of the Congo,180,47106
Turkey,792,63240
Iran (Islamic Republic of),364,65623
Germany,276,81401
